Weight,Age,Height,level
68.0,18.0,1.76,2
70.0,18.0,1.73,2
70.0,17.0,1.7,2
83.0,25.0,1.7,3
75.0,21.0,1.8,2
56.0,29.0,1.6,2
98.0,17.0,1.7,4
60.0,18.0,1.6,2
45.0,16.0,1.55,2
53.0,18.0,1.59,2
75.0,37.0,1.5,4
108.0,18.0,1.78,4
65.0,16.0,1.61,3
50.0,23.0,1.71,1
50.0,18.0,1.7,1
69.5,18.0,1.76,2
78.0,18.0,1.7,3
55.0,17.0,1.53,2
39.0,20.0,1.54,1
59.0,38.0,1.55,2
60.0,20.0,1.66,2
125.0,21.0,1.85,4
60.0,21.0,1.65,2
70.0,18.0,1.65,3
82.0,26.0,1.83,2
99.0,27.0,1.83,3
112.0,26.0,1.66,4
73.0,34.0,1.78,2
86.0,18.0,1.74,3
66.5,33.0,1.76,2
59.0,19.0,1.51,3
79.0,20.0,1.81,2
55.0,33.0,1.55,2
66.0,20.0,1.83,2
65.0,20.0,1.6,3
85.0,33.0,1.85,2
85.0,33.0,1.75,3
113.0,33.0,1.83,4
72.0,14.0,1.71,2
88.0,34.0,1.84,3
87.0,18.0,1.77,3
90.0,18.0,1.7,4
89.0,29.0,1.62,4
60.0,18.0,1.85,1
60.0,18.0,1.84,1
58.0,19.0,1.75,2
93.0,33.0,1.85,3
76.0,33.0,1.74,3
53.8,19.0,1.61,2
70.0,22.0,1.75,2
60.0,20.0,1.67,2
69.0,23.0,1.7,2
80.0,26.0,1.9,2
85.0,18.0,1.65,4
55.0,18.0,1.6,2
70.0,19.0,1.8,2
59.0,18.0,1.64,2
87.0,19.0,1.89,2
80.0,19.0,1.76,3
55.0,18.0,1.56,2
56.0,18.0,1.6,2
64.0,19.0,1.67,2
60.0,19.0,1.6,2
56.0,18.0,1.55,2
50.0,18.0,1.55,2
65.0,26.0,1.72,2
53.0,18.0,1.72,1
60.0,19.0,1.7,2
45.0,19.0,1.51,2
82.0,19.0,1.83,2
87.0,19.0,1.8,3
100.5,24.0,1.6,4
63.0,18.0,1.63,2
71.0,19.0,1.71,2
65.0,19.0,1.7,2
69.0,23.0,1.75,2
50.0,18.0,1.62,2
68.0,20.0,1.68,2
66.0,18.0,1.85,2
60.0,33.0,1.59,2
45.0,19.0,1.5,2
60.0,19.0,1.69,2
79.0,19.0,1.76,3
55.0,18.0,1.62,2
100.0,21.0,1.71,4
88.0,27.0,1.72,3
68.0,17.0,1.8,2
86.0,18.0,1.93,2
51.0,18.0,1.6,2
75.0,22.0,1.74,2
75.0,22.0,1.74,2
45.0,20.0,1.62,1
42.0,19.0,1.54,1
51.5,20.0,1.56,2
83.0,18.0,1.6,4
71.0,18.0,1.54,3
51.0,18.0,1.63,2
64.0,19.0,1.78,2
68.0,18.0,1.62,3
75.0,18.0,1.71,3
56.0,18.0,1.64,2
65.0,19.0,1.69,2
50.0,17.0,1.58,2
50.0,18.0,1.57,2
64.0,18.0,1.74,2
53.5,20.0,1.58,2
58.0,18.0,1.5,3
80.0,36.0,1.65,3
73.0,21.0,1.8,2
75.0,23.0,1.75,2
104.0,20.0,1.84,4
84.0,21.0,1.88,2
50.0,19.0,1.56,2
84.0,24.0,1.75,3
68.0,25.0,1.66,2
86.0,45.0,1.7,3
65.0,20.0,1.8,2
66.0,18.0,1.67,2
60.0,19.0,1.8,2
53.0,18.0,1.72,1
45.0,20.0,1.56,2
104.572712,25.196214,1.686306,4
126.67378,18.503343,1.683124,4
110.79263,26.0,1.622397,4
137.796884,21.853826,1.755643,4
165.057269,21.90012,1.843419,4
133.03441,18.306615,1.7456,4
111.485516,26.0,1.630927,4
104.826776,26.0,1.629191,4
133.963349,21.849705,1.770612,4
54.927529,19.799054,1.743702,1
55.695036,17.188754,1.771915,1
55.879263,22.285024,1.75376,1
51.154201,22.0,1.675446,1
49.869791,21.02497,1.666203,1
51.965521,22.038327,1.711467,1
44.845655,21.243142,1.598019,1
42.848033,22.142432,1.59611,1
43.919835,21.962426,1.57206,1
43.087508,21.491055,1.586952,1
44.581159,22.717943,1.59559,1
45.0,23.501249,1.6,1
45.0,18.535075,1.688025,1
42.339767,19.0,1.556211,1
42.096062,19.0,1.564199,1
41.324558,20.254534,1.56948,1
42.0,21.0,1.52,1
44.641796,20.225396,1.550648,1
42.0,19.86997,1.520997,1
42.0,20.147114,1.528011,1
42.0,21.0,1.52,1
50.890363,21.996523,1.733263,1
50.833029,21.376426,1.722527,1
50.0,19.724106,1.734832,1
64.106108,23.0,1.882779,1
63.611109,22.851834,1.854592,1
58.854416,23.0,1.835643,1
52.0,18.216032,1.755507,1
51.598593,21.81119,1.71266,1
52.0,18.164768,1.694265,1
41.452385,18.871794,1.586895,1
41.890204,18.766033,1.579561,1
41.397378,18.540535,1.564568,1
49.742931,19.88036,1.670635,1
49.660995,19.717249,1.688426,1
49.039794,19.633898,1.66084,1
50.287967,23.0,1.710182,1
53.699561,20.406871,1.755978,1
51.442293,23.0,1.728834,1
49.838965,19.058511,1.662017,1
50.0,18.827008,1.7,1
49.932199,19.314964,1.661403,1
49.516027,29.970445,1.610863,1
46.655622,32.383858,1.640688,1
49.839685,24.163526,1.64603,1
51.588874,17.038222,1.710564,1
50.0,16.30687,1.752755,1
52.629374,16.198153,1.691007,1
51.457226,18.0,1.753349,1
50.869704,18.0,1.781543,1
52.331172,18.0,1.755823,1
58.943347,17.486869,1.836669,1
57.790381,19.920629,1.768493,1
57.145917,18.426619,1.777108,1
43.365005,17.082867,1.640824,1
44.411801,17.000433,1.584951,1
47.124717,16.270434,1.818268,1
59.682591,17.908114,1.793926,1
58.968994,17.120699,1.809251,1
55.700497,19.329542,1.767335,1
54.98774,22.377998,1.699568,1
55.01045,20.954955,1.759358,1
54.166453,22.991668,1.740295,1
49.649613,19.300435,1.739354,1
49.603807,17.065445,1.647811,1
49.597765,19.084967,1.768435,1
50.0,18.024853,1.7,1
49.676046,19.833682,1.699464,1
50.0,17.767432,1.74379,1
42.367615,19.504696,1.590317,1
42.0,19.950605,1.527133,1
42.0,19.0,1.530875,1
59.409018,17.0,1.848294,1
59.295172,17.0,1.824414,1
59.258372,18.525525,1.856633,1
50.0,22.926352,1.715597,1
49.945233,21.785351,1.675054,1
51.073918,23.0,1.717601,1
50.0,17.402028,1.710756,1
50.0,18.0,1.7,1
50.0,18.48207,1.7,1
39.850137,18.53084,1.573816,1
39.371523,19.94814,1.530884,1
40.343463,20.400053,1.529724,1
56.307019,19.556729,1.767563,1
60.0,17.70368,1.883364,1
58.621349,18.274358,1.824655,1
60.0,18.0,1.840138,1
58.325122,17.210933,1.819557,1
59.612717,17.469417,1.798645,1
50.92538,18.0,1.7108,1
51.121749,18.0,1.70653,1
51.149283,18.0,1.716691,1
44.188767,19.010211,1.555431,1
45.0,19.091346,1.603923,1
45.0,19.773303,1.602082,1
42.0,19.483036,1.53777,1
42.0,19.0,1.538398,1
42.0,19.407204,1.520862,1
51.7325,18.0,1.717826,1
54.121925,18.424941,1.753389,1
50.157707,18.0,1.70165,1
54.997374,19.97981,1.75336,1
49.980968,21.798856,1.672007,1
44.050251,22.209706,1.593847,1
44.376637,23.018443,1.584785,1
45.0,19.376997,1.600264,1
41.557468,20.971429,1.549311,1
41.96525,20.345161,1.534385,1
49.815599,20.519916,1.725548,1
63.199726,20.406066,1.868931,1
51.256059,21.478496,1.686936,1
40.202773,18.372563,1.589829,1
49.026214,19.931667,1.653209,1
53.65727,22.998709,1.740108,1
50.0,18.006742,1.7,1
50.0,34.799519,1.689141,1
50.0,16.496978,1.691206,1
51.552595,18.0,1.788459,1
58.83071,17.377131,1.811238,1
43.534531,16.611837,1.830068,1
56.029418,17.080493,1.782756,1
55.967655,22.970655,1.751691,1
50.0,17.764764,1.78656,1
50.0,19.272573,1.71367,1
42.006282,19.0,1.540375,1
59.895052,17.06713,1.896734,1
50.079991,23.0,1.710129,1
50.631889,18.0,1.704193,1
39.695295,19.054008,1.556611,1
60.0,18.0,1.845399,1
59.990861,17.491272,1.834637,1
52.514302,18.0,1.721854,1
44.661461,20.172661,1.605521,1
42.0,19.220108,1.530266,1
52.058335,18.0,1.71889,1
54.98234,19.96247,1.756338,1
55.695253,17.580627,1.770324,1
56.265959,21.125098,1.767479,1
51.437985,22.033129,1.704223,1
49.803921,20.744839,1.667852,1
51.881263,22.547298,1.722461,1
44.236067,21.837996,1.588046,1
42.993937,23.035829,1.598612,1
44.00945,21.529439,1.592379,1
42.3601,21.287999,1.555778,1
44.594588,23.444286,1.596466,1
44.918255,22.329041,1.598393,1
45.0,18.91505,1.633316,1
42.12617,19.0,1.559567,1
42.069992,19.052833,1.546551,1
41.706283,19.59904,1.566501,1
42.0,21.0,1.52,1
44.810751,19.673262,1.599486,1
41.952805,20.244359,1.559186,1
42.0,20.552695,1.523426,1
42.0,21.0,1.52,1
51.107925,21.997683,1.689441,1
50.479039,21.274628,1.737453,1
50.0,18.909439,1.732096,1
61.411141,22.396504,1.869098,1
61.264785,19.084317,1.851123,1
58.585146,21.084625,1.787264,1
52.0,18.068767,1.787787,1
51.710723,21.813083,1.712515,1
51.692272,18.038422,1.698914,1
41.669346,18.874591,1.533609,1
41.934368,19.21164,1.567981,1
41.535047,18.988581,1.544263,1
49.804245,19.408999,1.670552,1
49.105025,19.665881,1.676346,1
49.125955,19.758286,1.667404,1
50.173425,22.422674,1.70011,1
54.567343,20.242237,1.75633,1
51.607091,22.637018,1.703584,1
49.895716,19.007177,1.690727,1
50.0,18.288205,1.713564,1
49.713944,19.314429,1.67231,1
49.558304,27.14823,1.660446,1
46.062954,25.380557,1.630379,1
50.424661,22.867719,1.655413,1
51.216463,17.729923,1.732862,1
50.0,16.834813,1.74402,1
52.09432,17.521754,1.757958,1
51.524444,18.0,1.786758,1
51.132809,18.0,1.767058,1
52.08657,18.128249,1.699437,1
58.913579,17.405104,1.82525,1
58.19515,19.72925,1.793315,1
57.275946,18.525834,1.776989,1
42.656563,18.595614,1.609495,1
44.762023,16.613108,1.777929,1
45.248627,16.928791,1.710948,1
59.881316,17.758315,1.854162,1
59.605028,17.282945,1.821514,1
55.511075,19.993154,1.762073,1
54.835576,22.935612,1.732307,1
55.003417,20.738469,1.759933,1
54.877111,22.99368,1.741377,1
49.650897,19.317148,1.731195,1
49.928447,16.910997,1.74823,1
49.699672,19.071027,1.756865,1
50.088468,18.019572,1.701378,1
49.98297,19.735968,1.699956,1
50.0,18.094079,1.723328,1
42.541794,19.054938,1.585886,1
42.0,20.850119,1.524926,1
42.0,19.349258,1.52337,1
59.313525,17.0,1.844749,1
59.619485,17.203917,1.853325,1
59.20945,17.671064,1.854706,1
50.0,21.310907,1.72064,1
50.165754,21.708354,1.704167,1
51.491957,22.176922,1.71746,1
50.0,17.823438,1.708406,1
50.279053,18.0,1.763465,1
50.0,18.281092,1.7,1
41.220175,18.656912,1.574017,1
39.101805,19.994543,1.537739,1
41.268597,20.255616,1.534223,1
55.3707,19.865895,1.76033,1
60.0,17.888073,1.841879,1
58.673963,18.470562,1.856406,1
59.933015,17.925497,1.829142,1
58.443049,17.000752,1.822084,1
59.243506,17.362129,1.80671,1
50.664459,18.0,1.707259,1
51.314659,18.0,1.708107,1
50.951444,18.0,1.739344,1
44.316254,19.029494,1.573987,1
44.753943,19.269079,1.58092,1
45.0,19.946244,1.603435,1
42.0,19.639431,1.53535,1
42.0,19.0,1.53161,1
42.0,19.434709,1.525691,1
52.289828,18.0,1.719827,1
53.783977,18.381382,1.722547,1
50.248677,18.0,1.738702,1
86.963765,26.69858,1.816298,3
70.0,21.125836,1.638085,3
85.637789,25.191627,1.813678,3
75.5771,21.963457,1.697228,3
68.869791,21.0,1.617469,3
88.965521,19.114981,1.855543,3
82.919584,41.823567,1.721854,3
86.413388,21.142432,1.855353,3
75.0,21.962426,1.696336,3
80.0,18.836315,1.751631,3
75.0,23.572648,1.698346,3
74.803157,33.700749,1.642971,3
68.126955,21.845025,1.613668,3
68.226511,21.0,1.605404,3
62.903938,35.125401,1.529834,3
62.337721,36.769646,1.55,3
78.175706,21.868932,1.731261,3
70.0,22.549208,1.629194,3
70.0,21.0,1.62,3
70.0,21.0,1.62,3
68.803694,30.958957,1.633491,3
79.109637,21.017383,1.752391,3
85.833029,19.623574,1.818226,3
85.0,19.637947,1.809101,3
75.0,21.413642,1.709484,3
67.722222,21.029633,1.607082,3
75.951472,22.667596,1.718939,3
89.652557,20.0,1.831357,3
66.401407,21.81119,1.6,3
77.929204,21.0,1.754813,3
80.273807,18.128206,1.778447,3
75.0,21.0,1.709561,3
71.602622,29.08107,1.674568,3
82.228794,26.358919,1.755317,3
75.0,22.717249,1.708071,3
85.079589,19.816949,1.806947,3
64.808022,24.023972,1.599697,3
72.748903,32.593129,1.721903,3
75.480764,23.0,1.712556,3
54.93242,16.941489,1.551288,3
65.0,16.172992,1.603842,3
62.339003,23.71259,1.588597,3
73.193589,35.194089,1.673482,3
88.675503,23.172982,1.858624,3
63.320629,37.218161,1.593894,3
69.529625,19.076443,1.62,3
67.183128,16.30687,1.616366,3
70.0,18.297229,1.637396,3
60.628321,18.610761,1.550723,3
65.0,17.451085,1.6,3
87.668828,29.740496,1.820471,3
73.641633,31.539393,1.657496,3
80.0,18.026457,1.752123,3
88.138777,19.47554,1.857231,3
79.544998,19.0,1.76,3
68.392133,18.0,1.644682,3
76.699774,18.270434,1.737165,3
64.259379,19.816228,1.507853,3
87.286783,28.39124,1.81006,3
86.981202,26.758516,1.80179,3
70.0,21.033794,1.625891,3
70.0,22.429812,1.64037,3
83.26312,26.650419,1.791047,3
75.0,21.618246,1.679306,3
68.653347,21.012542,1.615145,3
68.77185,21.071195,1.616467,3
86.522799,19.741202,1.816783,3
86.748295,19.21638,1.812472,3
75.62931,42.24475,1.768231,3
89.251639,22.283082,1.870931,3
89.558854,21.086512,1.863685,3
75.0,23.451595,1.670227,3
75.948164,22.740275,1.717288,3
79.828725,18.900253,1.750359,3
75.306702,23.170309,1.707557,3
74.812707,32.997118,1.672446,3
74.959747,32.501143,1.675979,3
67.939653,21.938831,1.611239,3
68.06609,21.909534,1.611356,3
70.0,21.0,1.62,3
63.183846,37.455752,1.508908,3
62.871794,40.0,1.561109,3
63.011645,38.943282,1.554728,3
78.55444,21.987341,1.730182,3
78.88036,21.198217,1.743841,3
70.0,21.0,1.62,3
70.0,21.0,1.62,3
70.0,21.0,1.62,3
70.0,21.0,1.62,3
70.0,21.0,1.62,3
69.906708,29.32038,1.642506,3
71.927379,31.255587,1.69308,3
79.414603,22.851773,1.752115,3
80.0,26.0,1.745033,3
85.0,19.789291,1.820643,3
85.073801,19.895877,1.80733,3
85.0,19.693804,1.8,3
85.255631,19.226314,1.814255,3
75.057177,21.652229,1.700181,3
68.016472,21.687409,1.604697,3
68.107866,21.455463,1.611,3
77.956921,21.0,1.754497,3
77.965532,21.0,1.752944,3
87.105828,19.337404,1.859927,3
90.52446,21.701643,1.896073,3
66.621646,21.620245,1.605314,3
78.370039,21.012569,1.758628,3
78.300084,21.016623,1.755427,3
80.091886,19.0,1.779882,3
75.0,21.0,1.712061,3
75.0,21.0,1.676014,3
74.244004,27.899784,1.7,3
82.045045,28.825223,1.765874,3
80.018571,26.047077,1.74595,3
75.0,23.0,1.690196,3
85.0,20.0,1.81748,3
65.363941,21.832995,1.580964,3
73.575981,30.255744,1.652084,3
69.168978,30.613586,1.645511,3
75.383716,23.245408,1.707968,3
55.523481,18.0,1.456346,3
55.376512,18.0,1.498561,3
65.0,16.950499,1.603501,3
63.597633,21.837058,1.558045,3
62.877347,27.0,1.55,3
73.91692,35.483601,1.647514,3
86.098523,23.801436,1.855779,3
87.083266,23.367212,1.853223,3
62.211572,40.0,1.570811,3
67.913561,16.38009,1.617124,3
67.439589,16.865984,1.644053,3
65.0,16.093234,1.608914,3
68.818893,18.0,1.647971,3
69.975607,18.83919,1.624831,3
61.10403,19.726522,1.508267,3
60.267427,18.947102,1.518917,3
65.0,17.781183,1.6,3
87.85785,33.100581,1.838791,3
75.920519,33.251015,1.730379,3
80.0,18.985119,1.759117,3
80.0,18.871917,1.755254,3
85.196279,19.478533,1.804099,3
86.144904,19.429723,1.813567,3
78.721696,20.979254,1.75655,3
79.989789,18.869151,1.756774,3
69.3899,18.236087,1.62,3
75.0,20.901393,1.709585,3
57.259124,17.08525,1.535618,3
87.032398,25.785925,1.818848,3
87.107317,26.787842,1.817641,3
70.0,21.037514,1.636592,3
70.0,21.00829,1.621412,3
85.770013,26.70371,1.802871,3
75.399191,21.731497,1.696201,3
75.0522,21.052894,1.694633,3
68.981403,21.0,1.618148,3
88.633616,19.241058,1.856811,3
86.934846,38.939448,1.738321,3
80.914382,39.965474,1.739293,3
85.316125,20.261925,1.807538,3
85.228116,20.31094,1.849425,3
75.0,21.420537,1.712473,3
80.0,18.845518,1.753471,3
75.371244,23.562135,1.717432,3
75.0,23.118327,1.677573,3
74.885222,33.732714,1.679725,3
68.058902,21.571288,1.600914,3
68.908136,21.165574,1.617749,3
68.865008,21.0,1.610209,3
69.463458,21.0,1.612556,3
62.341438,38.692265,1.548178,3
62.855073,38.952866,1.568441,3
62.417228,36.631456,1.532322,3
78.997062,21.996118,1.730199,3
78.429312,21.951309,1.730167,3
70.0,22.018228,1.627396,3
70.0,21.0,1.62,3
